I1_3839
																																																																																																						
		262.5	262.49	262.48	262.47	262.46	262.45	262.44	262.43	262.42	262.41	262.4	262.39	262.38	262.37	262.36	262.35	262.34	262.33	262.32	262.31	262.3	262.29	262.28	262.27	262.26	262.25	262.24	262.23	262.22	262.21	262.2	262.19	262.18	262.17	262.16	262.15	262.14	262.13	262.12	262.11	262.1	262.09	262.08	262.07	262.06	262.05	262.04	262.03	262.02	262.01	262	261.99	261.98	261.97	261.96	261.95	261.94	261.93	261.92	261.91	261.9	261.89	261.88	261.87	261.86	261.85	261.84	261.83	261.82	261.81	261.8	261.79	261.78	261.77	261.76	261.75	261.74	261.73	261.72	261.71	261.7	261.69	261.68	261.67	261.66	261.65	261.64	261.63	261.62	261.61	261.6	261.59	261.58	261.57	261.56	261.55	261.54	261.53	261.52	261.51	261.5
	0	-3.7812337e-11	-3.8369957e-11	-3.8148311e-11	-3.8454732e-11	-3.7950303e-11	-3.8547152e-11	-3.8130232e-11	-3.8826484e-11	-3.7277563e-11	-3.8459177e-11	-3.8364208e-11	-3.8599377e-11	-3.8458989e-11	-3.8411423e-11	-3.8674536e-11	-3.8646805e-11	-3.9137138e-11	-3.9526615e-11	-3.899769e-11	-3.8746718e-11	-3.890005e-11	-3.8538728e-11	-3.8922695e-11	-3.8757501e-11	-3.9095522e-11	-3.875154e-11	-3.8922168e-11	-3.8975448e-11	-3.9403251e-11	-3.8609695e-11	-3.9420561e-11	-3.8768662e-11	-3.909462e-11	-3.8306549e-11	-3.8597608e-11	-3.7975033e-11	-3.8400928e-11	-3.8490711e-11	-3.88619e-11	-3.8612984e-11	-3.8638179e-11	-3.8383654e-11	-3.8512919e-11	-3.7888574e-11	-3.7720004e-11	-3.716517e-11	-3.7355181e-11	-3.6512692e-11	-3.6910305e-11	-3.6779271e-11	-3.6596792e-11	-3.5538177e-11	-3.575119e-11	-3.4787041e-11	-3.8886654e-11	-4.0574068e-11	-4.1308769e-11	-4.0671345e-11	-4.0876372e-11	-4.0811268e-11	-4.1024743e-11	-4.0897036e-11	-4.1341812e-11	-4.0674245e-11	-4.164236e-11	-4.1231164e-11	-4.1701084e-11	-4.115637e-11	-4.1447679e-11	-4.1091807e-11	-4.171536e-11	-4.1262195e-11	-4.1392063e-11	-4.1831594e-11	-4.16049e-11	-4.1384833e-11	-4.1489943e-11	-4.1157473e-11	-4.0483405e-11	-4.091746e-11	-4.1055614e-11	-4.1184701e-11	-4.1662934e-11	-4.1115295e-11	-4.1116034e-11	-4.0985691e-11	-4.102713e-11	-4.1451745e-11	-4.0704575e-11	-4.0664003e-11	-4.0776861e-11	-4.1184087e-11	-4.0595659e-11	-4.0994177e-11	-4.0166814e-11	-4.0788772e-11	-4.056562e-11	-4.0396821e-11	-4.052025e-11	-4.0559618e-11	-4.0128085e-11
	5	-3.9412189e-11	-3.8717016e-11	-3.8639522e-11	-3.910396e-11	-3.9009053e-11	-3.848136e-11	-3.8925734e-11	-3.8625263e-11	-3.940891e-11	-3.899946e-11	-3.9323673e-11	-3.8809438e-11	-3.8556856e-11	-3.8619337e-11	-3.8637628e-11	-3.8670431e-11	-3.8438867e-11	-3.8696126e-11	-3.8678338e-11	-3.7949321e-11	-3.8480181e-11	-3.8215913e-11	-3.8728316e-11	-3.8177371e-11	-3.8806763e-11	-3.8405709e-11	-3.8519146e-11	-3.8718133e-11	-3.9162961e-11	-3.8772981e-11	-3.9252292e-11	-3.8808345e-11	-3.8875583e-11	-3.842144e-11	-3.8668624e-11	-3.8002337e-11	-3.8370147e-11	-3.7662283e-11	-3.8326647e-11	-3.8032754e-11	-3.8484913e-11	-3.7999701e-11	-3.8490638e-11	-3.7971667e-11	-3.8023903e-11	-3.7432123e-11	-3.77657e-11	-3.7251049e-11	-3.7636033e-11	-3.6900715e-11	-3.7576078e-11	-3.6716415e-11	-3.6625387e-11	-3.5272379e-11	-3.9075639e-11	-4.1699266e-11	-4.2143927e-11	-4.1900587e-11	-4.2371339e-11	-4.2080069e-11	-4.2434167e-11	-4.1974341e-11	-4.209837e-11	-4.1874063e-11	-4.2031462e-11	-4.2437921e-11	-4.2385775e-11	-4.2613371e-11	-4.2285724e-11	-4.2099688e-11	-4.2340569e-11	-4.2310603e-11	-4.2505624e-11	-4.2315713e-11	-4.2264858e-11	-4.2108764e-11	-4.1578498e-11	-4.1700997e-11	-4.1559218e-11	-4.2156004e-11	-4.1637464e-11	-4.1847349e-11	-4.1473398e-11	-4.2031059e-11	-4.1645961e-11	-4.1765258e-11	-4.1226595e-11	-4.1709722e-11	-4.1742762e-11	-4.1556782e-11	-4.1505674e-11	-4.1413092e-11	-4.1087675e-11	-4.1434044e-11	-4.0960946e-11	-4.1390457e-11	-4.1398013e-11	-4.1458222e-11	-4.1063434e-11	-4.104533e-11	-4.0769353e-11
	10	-3.9534636e-11	-3.9799445e-11	-3.962294e-11	-3.9160501e-11	-4.01311e-11	-3.9721938e-11	-3.9683021e-11	-3.9720494e-11	-3.9647546e-11	-3.9039307e-11	-3.9620491e-11	-3.9210513e-11	-3.9226143e-11	-3.8949635e-11	-3.9647043e-11	-3.9487122e-11	-3.9685946e-11	-3.8654097e-11	-3.9532554e-11	-3.9289915e-11	-3.9346106e-11	-3.8953115e-11	-3.9284857e-11	-3.8710438e-11	-3.9625286e-11	-3.9314808e-11	-3.9607258e-11	-3.8904078e-11	-3.995904e-11	-3.8882009e-11	-3.939922e-11	-3.9165522e-11	-3.9172148e-11	-3.8394364e-11	-3.8373058e-11	-3.8320059e-11	-3.8881984e-11	-3.8546361e-11	-3.8884621e-11	-3.8345289e-11	-3.8493726e-11	-3.8450226e-11	-3.8332486e-11	-3.8713477e-11	-3.8264156e-11	-3.8628399e-11	-3.7996412e-11	-3.8021156e-11	-3.7163449e-11	-3.7423474e-11	-3.7217292e-11	-3.6894876e-11	-3.6883052e-11	-3.7754137e-11	-4.1505209e-11	-4.2810415e-11	-4.2512101e-11	-4.318813e-11	-4.2759511e-11	-4.2915324e-11	-4.2794709e-11	-4.3193827e-11	-4.2903663e-11	-4.2987346e-11	-4.262261e-11	-4.3125323e-11	-4.2497689e-11	-4.3127207e-11	-4.2470864e-11	-4.2875831e-11	-4.2493863e-11	-4.2451518e-11	-4.2025848e-11	-4.2944964e-11	-4.207959e-11	-4.2359311e-11	-4.1927239e-11	-4.2528734e-11	-4.1940645e-11	-4.2265986e-11	-4.1731025e-11	-4.2318888e-11	-4.1637766e-11	-4.204655e-11	-4.1691896e-11	-4.1885839e-11	-4.1415062e-11	-4.1870497e-11	-4.1488864e-11	-4.1389302e-11	-4.0994316e-11	-4.1468204e-11	-4.1151135e-11	-4.1975746e-11	-4.1149917e-11	-4.1229156e-11	-4.0612947e-11	-4.1260415e-11	-4.0538451e-11	-4.1125024e-11	-4.0400124e-11
	15	-3.9617188e-11	-3.9155377e-11	-3.9613247e-11	-3.9481824e-11	-4.0878131e-11	-3.9767495e-11	-4.0133345e-11	-3.9129519e-11	-4.0216476e-11	-3.9083996e-11	-3.9833664e-11	-3.9415905e-11	-3.9798501e-11	-3.9101961e-11	-3.9421941e-11	-3.9282973e-11	-3.957781e-11	-3.9376235e-11	-3.9375621e-11	-3.9443348e-11	-3.9726958e-11	-3.9354641e-11	-3.9623867e-11	-3.9049725e-11	-3.9759925e-11	-3.9395692e-11	-3.9341964e-11	-3.9459894e-11	-3.9599424e-11	-3.9096764e-11	-3.948775e-11	-3.9331531e-11	-3.948555e-11	-3.8834581e-11	-3.8829835e-11	-3.9020464e-11	-3.8594242e-11	-3.7914651e-11	-3.7892793e-11	-3.8625061e-11	-3.8337895e-11	-3.8245476e-11	-3.8342426e-11	-3.7883981e-11	-3.7793796e-11	-3.7344877e-11	-3.7495545e-11	-3.7918894e-11	-3.6720318e-11	-3.6995206e-11	-3.6460984e-11	-3.7091229e-11	-3.6051082e-11	-3.8197532e-11	-4.2387031e-11	-4.3127005e-11	-4.2824348e-11	-4.2634552e-11	-4.261316e-11	-4.3028938e-11	-4.2878631e-11	-4.3241206e-11	-4.2631815e-11	-4.3153984e-11	-4.2869305e-11	-4.3232883e-11	-4.3011875e-11	-4.3076365e-11	-4.2936391e-11	-4.3252291e-11	-4.298259e-11	-4.3326984e-11	-4.3275227e-11	-4.3064011e-11	-4.2870887e-11	-4.2328429e-11	-4.3005158e-11	-4.2527645e-11	-4.2671748e-11	-4.2923963e-11	-4.2821486e-11	-4.2791409e-11	-4.2679055e-11	-4.1856324e-11	-4.2466596e-11	-4.2402432e-11	-4.2355709e-11	-4.2431732e-11	-4.2560785e-11	-4.2410631e-11	-4.242464e-11	-4.268012e-11	-4.2281692e-11	-4.2483655e-11	-4.2656483e-11	-4.2446609e-11	-4.2565444e-11	-4.2251942e-11	-4.2604534e-11	-4.2236513e-11	-4.227942e-11
	20	-4.0712687e-11	-4.0792075e-11	-4.0972409e-11	-4.0824476e-11	-4.0517475e-11	-4.0808721e-11	-4.0352936e-11	-4.0936581e-11	-4.0773006e-11	-4.0969082e-11	-4.0276033e-11	-4.1096387e-11	-4.0160073e-11	-4.077785e-11	-4.0347611e-11	-4.0975747e-11	-4.0335988e-11	-4.1044841e-11	-4.0745952e-11	-4.0786124e-11	-4.050486e-11	-4.0124057e-11	-4.0443596e-11	-4.0649074e-11	-4.0275994e-11	-4.028566e-11	-4.0098709e-11	-4.0217368e-11	-3.9884155e-11	-3.9353423e-11	-4.0236987e-11	-3.9550516e-11	-3.9639559e-11	-3.9725251e-11	-3.9383052e-11	-3.9362427e-11	-3.9720317e-11	-3.8895592e-11	-3.9002815e-11	-3.8958409e-11	-3.9224336e-11	-3.895546e-11	-3.9003967e-11	-3.8662833e-11	-3.9015905e-11	-3.8594818e-11	-3.8682644e-11	-3.8600883e-11	-3.8657726e-11	-3.784038e-11	-3.7854393e-11	-3.7482954e-11	-3.7193769e-11	-3.7763591e-11	-4.3982411e-11	-4.440822e-11	-4.433743e-11	-4.3935588e-11	-4.4503703e-11	-4.410948e-11	-4.4313716e-11	-4.4417938e-11	-4.4673418e-11	-4.4052272e-11	-4.4707061e-11	-4.4639872e-11	-4.4969445e-11	-4.4726944e-11	-4.4936464e-11	-4.4317647e-11	-4.4870684e-11	-4.4651373e-11	-4.4899685e-11	-4.4173117e-11	-4.4737516e-11	-4.4228465e-11	-4.4670743e-11	-4.3901417e-11	-4.4754488e-11	-4.3941111e-11	-4.4129502e-11	-4.3320018e-11	-4.4191217e-11	-4.3917661e-11	-4.394804e-11	-4.3280827e-11	-4.371261e-11	-4.338236e-11	-4.34358e-11	-4.3174433e-11	-4.3429385e-11	-4.2801377e-11	-4.3718407e-11	-4.305727e-11	-4.3243114e-11	-4.3000416e-11	-4.3449445e-11	-4.3297321e-11	-4.3789024e-11	-4.2983554e-11	-4.3397386e-11
	25	-4.1386051e-11	-4.2058048e-11	-4.1523777e-11	-4.1533669e-11	-4.0829673e-11	-4.1984093e-11	-4.1689222e-11	-4.2036732e-11	-4.128959e-11	-4.1498166e-11	-4.1115559e-11	-4.1544566e-11	-4.1282734e-11	-4.1591643e-11	-4.0934658e-11	-4.1592133e-11	-4.1109078e-11	-4.1467274e-11	-4.0692009e-11	-4.1028486e-11	-4.0833763e-11	-4.0592685e-11	-4.0750119e-11	-4.0918428e-11	-4.1058702e-11	-4.0612833e-11	-4.0649203e-11	-4.0745726e-11	-4.0473538e-11	-4.0562217e-11	-4.0553644e-11	-4.0290153e-11	-4.0593012e-11	-4.0482024e-11	-4.0311032e-11	-4.0202616e-11	-4.0131939e-11	-4.0080547e-11	-3.9968581e-11	-3.9560948e-11	-3.9557649e-11	-3.9593186e-11	-3.9415225e-11	-3.9194131e-11	-3.9383254e-11	-3.9399962e-11	-3.9330112e-11	-3.9296844e-11	-3.8955259e-11	-3.866826e-11	-3.8680611e-11	-3.814659e-11	-3.8107097e-11	-3.9517452e-11	-4.4937633e-11	-4.4771284e-11	-4.5080932e-11	-4.5155716e-11	-4.54763e-11	-4.5018982e-11	-4.5247622e-11	-4.5238945e-11	-4.5650504e-11	-4.5089332e-11	-4.5458571e-11	-4.4936565e-11	-4.5402321e-11	-4.5167377e-11	-4.5326971e-11	-4.4727912e-11	-4.5349557e-11	-4.5082413e-11	-4.4618594e-11	-4.4838459e-11	-4.4403224e-11	-4.445231e-11	-4.4029249e-11	-4.4477779e-11	-4.3702503e-11	-4.430371e-11	-4.346613e-11	-4.3724333e-11	-4.3354806e-11	-4.367515e-11	-4.312959e-11	-4.3447475e-11	-4.3363882e-11	-4.3614126e-11	-4.2819113e-11	-4.3471077e-11	-4.3259837e-11	-4.3263514e-11	-4.2689723e-11	-4.3377552e-11	-4.2968216e-11	-4.2854515e-11	-4.3512065e-11	-4.3398153e-11	-4.3760901e-11	-4.3543249e-11	-4.3546538e-11
	30	-4.1604584e-11	-4.2117955e-11	-4.1530005e-11	-4.1531611e-11	-4.140276e-11	-4.2073001e-11	-4.1412842e-11	-4.1850648e-11	-4.157772e-11	-4.1475046e-11	-4.1534637e-11	-4.1771347e-11	-4.2137387e-11	-4.1260252e-11	-4.1402246e-11	-4.1671208e-11	-4.2113472e-11	-4.1137125e-11	-4.152349e-11	-4.1552664e-11	-4.1459978e-11	-4.1281832e-11	-4.1775829e-11	-4.172937e-11	-4.1892718e-11	-4.1551245e-11	-4.1355308e-11	-4.1247658e-11	-4.1321363e-11	-4.119801e-11	-4.1669411e-11	-4.1553868e-11	-4.1153018e-11	-4.1012655e-11	-4.0895013e-11	-4.0786475e-11	-4.099833e-11	-4.1269516e-11	-4.1045081e-11	-4.113445e-11	-4.1380326e-11	-4.1493371e-11	-4.0659334e-11	-4.0624282e-11	-4.0344134e-11	-4.0639322e-11	-4.0242712e-11	-4.0340682e-11	-4.0126704e-11	-4.043688e-11	-3.9671006e-11	-3.9275291e-11	-3.778787e-11	-4.4776231e-11	-4.6287075e-11	-4.679054e-11	-4.6540712e-11	-4.6304113e-11	-4.6061099e-11	-4.6083342e-11	-4.6068895e-11	-4.6424552e-11	-4.5765221e-11	-4.6055423e-11	-4.5706959e-11	-4.6124066e-11	-4.5682541e-11	-4.5666373e-11	-4.582151e-11	-4.5971289e-11	-4.6106442e-11	-4.599288e-11	-4.5658238e-11	-4.5221583e-11	-4.5288481e-11	-4.4933064e-11	-4.5375505e-11	-4.4972595e-11	-4.5482236e-11	-4.4724585e-11	-4.522142e-11	-4.4354753e-11	-4.5009642e-11	-4.4216627e-11	-4.4632402e-11	-4.4055638e-11	-4.4357528e-11	-4.41489e-11	-4.429274e-11	-4.4040386e-11	-4.4752417e-11	-4.4063999e-11	-4.4357365e-11	-4.4171583e-11	-4.3838069e-11	-4.4144279e-11	-4.4171281e-11	-4.4087574e-11	-4.4238734e-11	-4.4073991e-11	-4.3927025e-11
	35	-4.2772591e-11	-4.2163224e-11	-4.264605e-11	-4.2215988e-11	-4.2857703e-11	-4.2347761e-11	-4.2674548e-11	-4.2511588e-11	-4.1887882e-11	-4.2105489e-11	-4.2302682e-11	-4.1916807e-11	-4.2071343e-11	-4.1678463e-11	-4.2767356e-11	-4.2227763e-11	-4.2839638e-11	-4.271104e-11	-4.2809648e-11	-4.2590712e-11	-4.2914935e-11	-4.1600907e-11	-4.2225164e-11	-4.1712873e-11	-4.1985086e-11	-4.2118219e-11	-4.2436252e-11	-4.1875933e-11	-4.2227825e-11	-4.1840066e-11	-4.1881682e-11	-4.1651939e-11	-4.2059318e-11	-4.1592823e-11	-4.193574e-11	-4.1531386e-11	-4.2010156e-11	-4.1484309e-11	-4.1486294e-11	-4.0967198e-11	-4.1869844e-11	-4.1151447e-11	-4.1156245e-11	-4.0663424e-11	-4.1061477e-11	-4.0769377e-11	-4.0648523e-11	-4.0376449e-11	-4.0395631e-11	-4.0050994e-11	-4.0186486e-11	-3.9827752e-11	-3.9527406e-11	-4.5168619e-11	-4.7124003e-11	-4.7661226e-11	-4.7552962e-11	-4.7729265e-11	-4.729319e-11	-4.7850057e-11	-4.71552e-11	-4.8036769e-11	-4.7918714e-11	-4.7881844e-11	-4.7501756e-11	-4.7954054e-11	-4.7251737e-11	-4.7375215e-11	-4.720967e-11	-4.7011801e-11	-4.6986203e-11	-4.7084069e-11	-4.6754298e-11	-4.6935084e-11	-4.6370734e-11	-4.6831854e-11	-4.5987068e-11	-4.617624e-11	-4.625534e-11	-4.6458747e-11	-4.608721e-11	-4.6165193e-11	-4.5656055e-11	-4.6285319e-11	-4.5774873e-11	-4.6337517e-11	-4.5786749e-11	-4.6245726e-11	-4.5708666e-11	-4.59679e-11	-4.5443094e-11	-4.5496159e-11	-4.5282732e-11	-4.5074531e-11	-4.4825102e-11	-4.5857214e-11	-4.5104045e-11	-4.5385383e-11	-4.5323169e-11	-4.5717468e-11	-4.5240665e-11
	40	-4.3483831e-11	-4.3158165e-11	-4.3699867e-11	-4.2988214e-11	-4.3340456e-11	-4.2835145e-11	-4.3122134e-11	-4.2962113e-11	-4.3465478e-11	-4.2887933e-11	-4.3373572e-11	-4.2792728e-11	-4.3100329e-11	-4.3161804e-11	-4.2475658e-11	-4.283187e-11	-4.3071154e-11	-4.3011525e-11	-4.3235068e-11	-4.263544e-11	-4.3089119e-11	-4.2973965e-11	-4.3140512e-11	-4.2988741e-11	-4.3039319e-11	-4.3061225e-11	-4.2769777e-11	-4.2922683e-11	-4.2704514e-11	-4.241018e-11	-4.2197155e-11	-4.2708517e-11	-4.2282306e-11	-4.2569837e-11	-4.2789463e-11	-4.2703181e-11	-4.2653433e-11	-4.2676456e-11	-4.2425646e-11	-4.2827249e-11	-4.2293218e-11	-4.255005e-11	-4.1873786e-11	-4.1833727e-11	-4.2194331e-11	-4.1890671e-11	-4.1494603e-11	-4.1445743e-11	-4.0759271e-11	-4.1237944e-11	-4.0469007e-11	-4.0772753e-11	-4.2471655e-11	-4.7986441e-11	-4.8515931e-11	-4.8548204e-11	-4.8159532e-11	-4.8683672e-11	-4.8087735e-11	-4.849833e-11	-4.7952621e-11	-4.8348953e-11	-4.8247344e-11	-4.9006802e-11	-4.8461686e-11	-4.9196099e-11	-4.8173264e-11	-4.8865297e-11	-4.8148371e-11	-4.8662432e-11	-4.793678e-11	-4.8764052e-11	-4.8241168e-11	-4.8532324e-11	-4.7695813e-11	-4.7784263e-11	-4.6471892e-11	-4.7665556e-11	-4.7451893e-11	-4.7902432e-11	-4.775446e-11	-4.7586681e-11	-4.7278865e-11	-4.7432912e-11	-4.7131851e-11	-4.7195584e-11	-4.6611062e-11	-4.64653e-11	-4.675214e-11	-4.6862136e-11	-4.647591e-11	-4.6633069e-11	-4.6615958e-11	-4.6707197e-11	-4.6332344e-11	-4.6205203e-11	-4.64387e-11	-4.628424e-11	-4.6320444e-11	-4.6492442e-11	-4.6633069e-11
