I1_783
																																										
		350	352	354	356	358	360	362	364	366	368	370	372	374	376	378	380	382	384	386	388	390	392	394	396	398	400	402	404	406	408	410	412	414	416	418	420	422	424	426	428	430
	325	5.8728548e-13	-4.7199011e-12	-6.2833597e-12	-4.8095343e-12	-4.430966e-12	-4.4186135e-12	-4.0955572e-12	-2.8508617e-12	-2.305907e-12	-1.5422175e-12	-7.3265688e-13	1.0667099e-12	-2.7995674e-12	-8.210096e-13	4.4052813e-12	8.7155066e-12	1.3140145e-11	3.5815e-11	4.149759e-11	5.4755766e-11	8.5267571e-11	9.04214e-11	3.7317975e-11	6.12202e-12	-2.8678843e-12	-3.4188646e-12	-4.2317395e-12	-5.1721344e-12	-4.8328841e-12	-3.7875657e-12	-3.8734328e-12	-3.9153871e-12	-2.6927607e-12	-2.4711635e-12	-2.7617557e-12	-3.722789e-12	-3.0930217e-12	-1.1225235e-12	4.0794383e-13	1.7742093e-12	1.0620399e-12
	326.875	2.9505879e-12	-2.7844276e-12	-3.452157e-12	-3.8073e-12	-3.5140716e-12	-2.8281145e-12	-4.1179278e-12	-4.5547203e-12	-2.5545449e-12	-1.3255915e-12	-6.4061343e-13	-2.4015659e-12	3.7654966e-12	4.7874651e-12	7.2207418e-12	9.9545528e-12	1.6885455e-11	3.8173027e-11	4.5620941e-11	6.1898625e-11	9.1630092e-11	6.1404888e-11	4.8697166e-12	-4.3090952e-12	-3.7405647e-12	-3.6297662e-12	-4.796353e-12	-3.831855e-12	-3.9035615e-12	-3.9831016e-12	-2.8571134e-12	-2.405332e-12	-3.3002325e-12	-2.8405425e-12	-2.8934186e-12	-3.4941867e-12	-1.4555219e-12	1.0337941e-12	1.1267415e-12	1.4118352e-12	2.2685473e-12
	328.75	6.7940423e-13	-2.7499301e-12	-3.8592723e-12	-3.9410719e-12	-2.6675279e-12	-2.5738274e-12	-4.2537337e-12	-3.5777186e-12	-2.9618862e-12	-1.7898008e-12	-1.6658209e-12	-1.5189431e-12	-1.8077276e-14	6.3164261e-12	9.7114131e-12	1.243001e-11	2.9722582e-11	4.5967497e-11	7.0647647e-11	9.7606138e-11	9.4413165e-11	3.9821452e-11	5.5278802e-12	-1.6185187e-12	-3.4132155e-12	-4.9094114e-12	-4.4392515e-12	-3.0196581e-12	-3.1004786e-12	-3.286524e-12	-1.7467167e-12	-1.711466e-12	-3.7273834e-12	-3.5566285e-12	-4.0858406e-12	-1.0868962e-12	-1.0562402e-12	1.103467e-13	1.2305352e-12	2.5239643e-12	5.4444986e-12
	330.625	1.322654e-12	-3.0183776e-12	-4.0395933e-12	-2.6090781e-12	-3.3337508e-12	-3.3159749e-12	-4.3411069e-12	-2.9513412e-12	-1.9893288e-12	-1.8559336e-12	-2.653744e-12	-8.1400463e-13	5.9511142e-12	9.4718894e-12	1.1881741e-11	1.836719e-11	4.714576e-11	5.3112691e-11	9.2871023e-11	9.9085615e-11	5.6123689e-11	9.9492047e-12	-9.1229986e-13	-2.4548939e-12	-3.4356615e-12	-4.4928809e-12	-3.9428044e-12	-3.4569775e-12	-2.5174864e-12	-3.0714045e-12	-1.7800843e-12	-1.7151568e-12	-3.2906666e-12	-2.8344414e-12	-2.177483e-12	-8.4661905e-13	-1.2744479e-13	-4.9087335e-13	1.183007e-12	4.5108075e-12	8.9852344e-12
	332.5	1.937432e-12	-2.6148779e-12	-2.86103e-12	-3.9107172e-12	-3.5002125e-12	-3.7869634e-12	-3.6415163e-12	-1.1753995e-12	-9.3700546e-13	-2.333475e-12	-1.3170048e-12	1.453187e-12	5.8340641e-12	1.062537e-11	1.4362169e-11	4.0282947e-11	5.8022028e-11	6.0355353e-11	7.4766256e-11	8.4312113e-11	4.1098985e-11	5.4724432e-12	-3.1234518e-12	-4.2772339e-12	-4.6719213e-12	-4.1059517e-12	-2.9697197e-12	-2.6695616e-12	-2.324361e-12	-2.3406305e-12	-3.1757253e-12	-3.9241245e-12	-4.2829585e-12	-2.0022089e-12	2.0638222e-13	-4.4635807e-13	-3.2749996e-13	1.4788717e-12	3.7689613e-12	7.2789656e-12	1.1479973e-11
	334.375	4.6148272e-12	4.5720443e-14	-8.741869e-13	-8.3291046e-13	-4.9038373e-12	-4.4873823e-12	-1.931105e-12	-7.956261e-13	2.1840362e-12	2.4749295e-12	1.6112878e-12	4.3561712e-12	7.7262276e-12	1.316003e-11	2.638657e-11	5.6975653e-11	6.7398032e-11	6.810847e-11	1.0557799e-10	5.4969907e-11	1.2859195e-11	-2.0287222e-12	-4.1061026e-12	-3.542242e-12	-3.9359501e-12	-3.8146816e-12	-2.1890074e-12	-2.8672065e-12	-1.6191966e-12	-1.678249e-12	-3.6778215e-12	-4.0662569e-12	-2.1232512e-12	-1.926209e-12	-4.1969406e-13	7.5020692e-14	1.6279339e-12	4.7189219e-12	8.1069804e-12	1.0370707e-11	1.2289986e-11
	336.25	2.8625366e-12	-8.8925129e-13	-2.3403293e-12	-3.6492745e-12	-4.2743717e-12	-2.1179035e-12	-2.2597347e-12	-2.414672e-12	-1.9380346e-12	9.6698355e-13	1.6530915e-12	4.5250431e-12	1.1448112e-11	2.2269697e-11	4.3362338e-11	7.4153884e-11	7.2382614e-11	8.9093247e-11	8.4293961e-11	2.5532193e-11	-1.2089178e-13	-1.9803655e-12	-2.9158644e-12	-4.0747683e-12	-2.8342907e-12	-3.0137078e-12	-3.3198162e-12	-2.358256e-12	-2.4454787e-12	-2.4869811e-12	-2.8783542e-12	-1.565266e-12	-1.6472163e-12	-1.0279191e-12	-7.5517815e-13	-1.5471134e-13	3.0912141e-12	7.8351431e-12	1.0313914e-11	1.1714526e-11	1.2279742e-11
	338.125	9.5971503e-12	1.3200177e-12	-2.3235324e-12	-3.3596615e-12	-2.0627677e-12	-2.4301884e-12	-3.0264371e-13	1.9021813e-12	2.0375349e-12	7.291921e-13	9.7617281e-13	7.5713654e-12	1.6757484e-11	4.0353526e-11	6.47589e-11	8.1605563e-11	5.3916076e-11	5.9348824e-11	5.1779116e-11	2.0036174e-11	1.377639e-12	-1.5987844e-12	-3.389263e-12	-3.5313957e-12	-2.3340776e-12	-3.1089901e-12	-9.9711233e-13	-7.2874015e-13	-2.6804832e-12	-3.2005063e-12	-1.1592806e-12	-1.435185e-12	-8.4902934e-13	-7.0380859e-13	-1.3934566e-14	3.9363265e-12	6.1103449e-12	9.5757586e-12	1.2362446e-11	1.3377636e-11	1.1659918e-11
	340	7.1027875e-12	-1.4682513e-12	-3.1922963e-12	-3.2994794e-12	-2.1584266e-12	3.930075e-12	3.3687003e-12	1.1934767e-12	1.4084457e-12	-5.816363e-13	4.0015556e-12	1.2351072e-11	3.078364e-11	5.3906133e-11	9.0163953e-11	8.1513747e-11	8.9735296e-11	8.6704262e-11	3.1624311e-11	4.7385056e-13	-2.3178833e-12	-3.1474042e-12	-3.9006992e-12	-3.1397213e-12	-2.2236555e-12	-1.0661073e-12	-1.0818496e-12	-2.556202e-12	-2.2108509e-12	-2.1068312e-12	-1.2831853e-12	-6.5394543e-13	-5.5323996e-13	7.1894828e-13	3.1273686e-12	7.2965158e-12	9.0678628e-12	1.0823694e-11	1.1269373e-11	1.2366288e-11	1.2807448e-11
